2025-06-20 12:46:37,409 - INFO - Processing test_traffic.pcap...
2025-06-20 12:46:37,421 - INFO - Read 100 packets from test_traffic.pcap
2025-06-20 12:46:37,421 - DEBUG - Created new flow: ('10.0.0.9', '192.168.1.4', 37967, 53, '00:11:22:33:44:48', 'aa:bb:cc:dd:ee:21')
2025-06-20 12:46:37,422 - DEBUG - Added packet to flow: ('10.0.0.9', '192.168.1.4', 37967, 53, '00:11:22:33:44:48', 'aa:bb:cc:dd:ee:21')
2025-06-20 12:46:37,422 - DEBUG - Created new flow: ('10.0.0.6', '192.168.1.6', 65017, 443, '00:11:22:33:44:49', 'aa:bb:cc:dd:ee:50')
2025-06-20 12:46:37,422 - DEBUG - Added packet to flow: ('10.0.0.6', '192.168.1.6', 65017, 443, '00:11:22:33:44:49', 'aa:bb:cc:dd:ee:50')
2025-06-20 12:46:37,422 - DEBUG - Created new flow: ('10.0.0.6', '192.168.1.10', 18757, 68, '00:11:22:33:44:16', 'aa:bb:cc:dd:ee:94')
2025-06-20 12:46:37,422 - DEBUG - Added packet to flow: ('10.0.0.6', '192.168.1.10', 18757, 68, '00:11:22:33:44:16', 'aa:bb:cc:dd:ee:94')
2025-06-20 12:46:37,422 - DEBUG - Created new flow: ('10.0.0.10', '192.168.1.6', 26546, 53, '00:11:22:33:44:82', 'aa:bb:cc:dd:ee:61')
2025-06-20 12:46:37,422 - DEBUG - Added packet to flow: ('10.0.0.10', '192.168.1.6', 26546, 53, '00:11:22:33:44:82', 'aa:bb:cc:dd:ee:61')
2025-06-20 12:46:37,422 - DEBUG - Created new flow: ('10.0.0.2', '192.168.1.9', 41347, 80, '00:11:22:33:44:83', 'aa:bb:cc:dd:ee:24')
2025-06-20 12:46:37,422 - DEBUG - Added packet to flow: ('10.0.0.2', '192.168.1.9', 41347, 80, '00:11:22:33:44:83', 'aa:bb:cc:dd:ee:24')
2025-06-20 12:46:37,422 - DEBUG - Created new flow: ('10.0.0.6', '192.168.1.4', 36553, 123, '00:11:22:33:44:49', 'aa:bb:cc:dd:ee:68')
2025-06-20 12:46:37,422 - DEBUG - Added packet to flow: ('10.0.0.6', '192.168.1.4', 36553, 123, '00:11:22:33:44:49', 'aa:bb:cc:dd:ee:68')
2025-06-20 12:46:37,422 - DEBUG - Created new flow: ('10.0.0.10', '192.168.1.8', 16407, 67, '00:11:22:33:44:21', 'aa:bb:cc:dd:ee:25')
2025-06-20 12:46:37,422 - DEBUG - Added packet to flow: ('10.0.0.10', '192.168.1.8', 16407, 67, '00:11:22:33:44:21', 'aa:bb:cc:dd:ee:25')
2025-06-20 12:46:37,422 - DEBUG - Created new flow: ('10.0.0.1', '192.168.1.5', 41478, 53, '00:11:22:33:44:73', 'aa:bb:cc:dd:ee:67')
2025-06-20 12:46:37,422 - DEBUG - Added packet to flow: ('10.0.0.1', '192.168.1.5', 41478, 53, '00:11:22:33:44:73', 'aa:bb:cc:dd:ee:67')
2025-06-20 12:46:37,422 - DEBUG - Created new flow: ('10.0.0.1', '192.168.1.4', 20347, 53, '00:11:22:33:44:87', 'aa:bb:cc:dd:ee:78')
2025-06-20 12:46:37,422 - DEBUG - Added packet to flow: ('10.0.0.1', '192.168.1.4', 20347, 53, '00:11:22:33:44:87', 'aa:bb:cc:dd:ee:78')
2025-06-20 12:46:37,422 - DEBUG - Created new flow: ('10.0.0.1', '192.168.1.8', 16602, 443, '00:11:22:33:44:10', 'aa:bb:cc:dd:ee:45')
2025-06-20 12:46:37,422 - DEBUG - Added packet to flow: ('10.0.0.1', '192.168.1.8', 16602, 443, '00:11:22:33:44:10', 'aa:bb:cc:dd:ee:45')
2025-06-20 12:46:37,422 - DEBUG - Created new flow: ('10.0.0.8', '192.168.1.5', 40805, 443, '00:11:22:33:44:31', 'aa:bb:cc:dd:ee:99')
2025-06-20 12:46:37,423 - DEBUG - Added packet to flow: ('10.0.0.8', '192.168.1.5', 40805, 443, '00:11:22:33:44:31', 'aa:bb:cc:dd:ee:99')
